song,year,place_final,points_final,to_country
Şarkım sevgi üstüne,1987,22,0,Turkey
Ne Partez Pas Sans Moi,1988,1,137,Switzerland
Go,1988,2,136,United Kingdom
Ka' Du Se Hva' Jeg Sa',1988,3,92,Denmark
Croire,1988,4,90,Luxembourg
For Vår Jord,1988,5,88,Norway
Mangup,1988,6,87,Yugoslavia
Ben Adam,1988,7,85,Israel
Take Him Home,1988,8,79,Ireland
Shangri-la,1988,9,70,Netherlands
Chanteur De Charme,1988,10,64,France
La Chica Que Yo Quiero (made In Spain),1988,11,58,Spain
Stad I Ljus,1988,12,52,Sweden
Ti Scrivo,1988,12,52,Italy
Lied Für Einen Freund,1988,14,48,Germany
Sufi,1988,15,37,Turkey
Sókrates,1988,16,20,Iceland
Kloun,1988,17,10,Greece
Laissez Briller Le Soleil,1988,18,5,Belgium
Voltarei,1988,18,5,Portugal
Nauravat Silmät Muistetaan,1988,20,3,Finland
Lisa Mona Lisa,1988,21,0,Austria
Rock Me,1989,1,137,Yugoslavia
Why Do I Always Get It Wrong,1989,2,130,United Kingdom
Vi Maler Byen Rød,1989,3,111,Denmark
En Dag,1989,4,110,Sweden
Nur Ein Lied,1989,5,97,Austria
Nacida Para Amar,1989,6,88,Spain
La Dolce Vita,1989,7,76,Finland
J'ai Volé La Vie,1989,8,60,France
Avrei Voluto,1989,9,56,Italy
To Diko Sou Asteri,1989,9,56,Greece
Apopse As Vrethoume,1989,11,51,Cyprus
Derech Ha'melech,1989,12,50,Israel
Viver Senza Tei,1989,13,47,Switzerland
Flieger,1989,14,46,Germany
Blijf Zoals Je Bent,1989,15,45,Netherlands
Conquistador,1989,16,39,Portugal
Venners Nærhet,1989,17,30,Norway
The Real Me,1989,18,21,Ireland
Door De Wind,1989,19,13,Belgium
Monsieur,1989,20,8,Luxembourg
Bana Bana,1989,21,5,Turkey
Það Sem Enginn Sér,1989,22,0,Iceland
Insieme: 1992,1990,1,149,Italy
White And Black Blues,1990,2,132,France
Somewhere In Europe,1990,2,132,Ireland
Eitt Lag Enn,1990,4,124,Iceland
Bandido,1990,5,96,Spain
Give A Little Love Back To The World,1990,6,87,United Kingdom
Hajde Da Ludujemo,1990,7,81,Yugoslavia
Hallo Hallo,1990,8,64,Denmark
Frei Zu Leben,1990,9,60,Germany
Keine Mauern Mehr,1990,10,58,Austria
Musik Klingt In Die Welt Hinaus,1990,11,51,Switzerland
Macédomienne,1990,12,46,Belgium
Quand Je Te Rêve,1990,13,38,Luxembourg
Milas Poli,1990,14,36,Cyprus
Ik Wil Alles Met Je Delen,1990,15,25,Netherlands
Som En Vind,1990,16,24,Sweden
Gözlerinin Hapsindeyim,1990,17,21,Turkey
Shara Barechovot,1990,18,16,Israel
Horis Skopo,1990,19,11,Greece
