song,year,place_final,points_final,to_country
L'Amore È Femmina (Out Of Love),2012,9,101,Italy
Quédate Conmigo,2012,10,97,Spain
Lăutar,2012,11,81,Moldova
Zaleilah,2012,12,71,Romania
Crno I Belo,2012,13,71,North Macedonia
Love Is Blind,2012,14,70,Lithuania
Be My Guest,2012,15,65,Ukraine
La La Love,2012,16,65,Cyprus
Aphrodisiac,2012,17,64,Greece
Korake Ti Znam,2012,18,55,Bosnia & Herzegovina
Waterline,2012,19,46,Ireland
Never Forget,2012,20,46,Iceland
This Is The Night,2012,21,41,Malta
Echo (You And I),2012,22,21,France
Should've Known Better,2012,23,21,Denmark
Sound Of Our Hearts,2012,24,19,Hungary
Love Will Set You Free,2012,25,12,United Kingdom
Stay,2012,26,7,Norway
Only Teardrops,2013,1,281,Denmark
Hold Me,2013,2,234,Azerbaijan
Gravity,2013,3,214,Ukraine
I Feed You My Love,2013,4,191,Norway
What If,2013,5,174,Russia
Alcohol Is Free,2013,6,152,Greece
L'Essenziale,2013,7,126,Italy
Tomorrow,2013,8,120,Malta
Birds,2013,9,114,Netherlands
Kedvesem,2013,10,84,Hungary
O Mie,2013,11,71,Moldova
Love Kills,2013,12,71,Belgium
It's My Life,2013,13,65,Romania
You,2013,14,62,Sweden
Waterfall,2013,15,50,Georgia
Solayoh,2013,16,48,Belarus
Ég Á Líf,2013,17,47,Iceland
Lonely Planet,2013,18,41,Armenia
Believe In Me,2013,19,23,United Kingdom
Et Uus Saaks Alguse,2013,20,19,Estonia
Glorious,2013,21,18,Germany
Something,2013,22,17,Lithuania
L'enfer Et Moi,2013,23,14,France
Marry Me,2013,24,13,Finland
Contigo Hasta El Final (With You Until The End),2013,25,8,Spain
Only Love Survives,2013,26,5,Ireland
Rise Like a Phoenix,2014,1,290,Austria
Calm After The Storm,2014,2,238,Netherlands
Undo,2014,3,218,Sweden
Not Alone,2014,4,174,Armenia
Running,2014,5,143,Hungary
Tick - Tock,2014,6,113,Ukraine
Shine,2014,7,89,Russia
Silent Storm,2014,8,88,Norway
Cliche Love Song,2014,9,74,Denmark
Dancing in the rain,2014,10,74,Spain
Something Better,2014,11,72,Finland
Miracle,2014,12,72,Romania
Hunter Of Stars,2014,13,64,Switzerland
My Słowianie - We Are Slavic,2014,14,62,Poland
No Prejudice,2014,15,58,Iceland
Cheesecake,2014,16,43,Belarus
Children of the Universe,2014,17,40,United Kingdom
Is It Right,2014,18,39,Germany
Moj Svijet,2014,19,37,Montenegro
Rise Up,2014,20,35,Greece
La Mia Città,2014,21,33,Italy
Start A Fire,2014,22,33,Azerbaijan
Coming Home,2014,23,32,Malta
Maybe (Forse),2014,24,14,San Marino
Round and Round,2014,25,9,Slovenia
Moustache,2014,26,2,France
Heroes,2015,1,365,Sweden
A Million Voices,2015,2,303,Russia
Grande Amore,2015,3,292,Italy
Rhythm Inside,2015,4,217,Belgium
Tonight Again,2015,5,196,Australia
Love Injected,2015,6,186,Latvia
Goodbye to Yesterday,2015,7,106,Estonia
A Monster Like Me,2015,8,102,Norway
Golden Boy,2015,9,97,Israel
Beauty Never Lies,2015,10,53,Serbia
Warrior,2015,11,51,Georgia
Hour Of The Wolf,2015,12,49,Azerbaijan
Adio,2015,13,44,Montenegro
Here for You,2015,14,39,Slovenia
De La Capăt / All Over Again,2015,15,35,Romania
Face The Shadow,2015,16,34,Armenia
I'm Alive,2015,17,34,Albania
This Time,2015,18,30,Lithuania
One Last Breath,2015,19,23,Greece
Wars For Nothing,2015,20,19,Hungary
Amanecer,2015,21,15,Spain
One Thing I Should Have Done,2015,22,11,Cyprus
In The Name Of Love,2015,23,10,Poland
Still in Love with You,2015,24,5,United Kingdom
N’oubliez pas,2015,25,4,France
I Am Yours,2015,26,0,Austria
Black Smoke,2015,27,0,Germany
1944,2016,1,534,Ukraine
Sound of Silence,2016,2,511,Australia
You Are the Only One,2016,3,491,Russia
If Love Was a Crime,2016,4,307,Bulgaria
If I Were Sorry,2016,5,261,Sweden
J'ai Cherché,2016,6,257,France
LoveWave,2016,7,249,Armenia
Color of Your Life,2016,8,229,Poland
I've Been Waiting for This Night,2016,9,200,Lithuania
What's the Pressure,2016,10,181,Belgium
Slow Down,2016,11,153,Netherlands
Walk on Water,2016,12,153,Malta
Loin d'ici,2016,13,151,Austria
Made of Stars,2016,14,135,Israel
Heartbeat,2016,15,132,Latvia
No Degree of Separation,2016,16,124,Italy
Miracle,2016,17,117,Azerbaijan
Goodbye (Shelter),2016,18,115,Serbia
Pioneer,2016,19,108,Hungary
Midnight Gold,2016,20,104,Georgia
Alter Ego,2016,21,96,Cyprus
Say Yay!,2016,22,77,Spain
Lighthouse,2016,23,73,Croatia
You're Not Alone,2016,24,62,United Kingdom
I Stand,2016,25,41,Czech Republic
Ghost,2016,26,11,Germany
Amar Pelos Dois,2017,1,758,Portugal
Beautiful Mess,2017,2,615,Bulgaria
Hey Mamma,2017,3,374,Moldova
City Lights,2017,4,363,Belgium
I Can't Go On,2017,5,344,Sweden
Occidentali's Karma,2017,6,334,Italy
Yodel It!,2017,7,282,Romania
Origo,2017,8,200,Hungary
Don't Come Easy,2017,9,173,Australia
Grab the Moment,2017,10,158,Norway
Lights And Shadows,2017,11,150,Netherlands
Requiem,2017,12,135,France
My Friend,2017,13,128,Croatia
Skeletons,2017,14,120,Azerbaijan
Never Give Up on You,2017,15,111,United Kingdom
Running On Air,2017,16,93,Austria
Historyja Majho Zyccia,2017,17,83,Belarus
Fly With Me,2017,18,79,Armenia
This is Love,2017,19,77,Greece
Where I Am,2017,20,77,Denmark
Gravity,2017,21,68,Cyprus
Flashlight,2017,22,64,Poland
I Feel Alive,2017,23,39,Israel
Time,2017,24,36,Ukraine
Perfect Life,2017,25,6,Germany
Do It for Your Lover,2017,26,5,Spain
Toy,2018,1,529,Israel
Fuego,2018,2,436,Cyprus
Nobody But You,2018,3,342,Austria
You Let Me Walk Alone,2018,4,340,Germany
Non Mi Avete Fatto Niente,2018,5,308,Italy
Lie To Me,2018,6,281,Czech Republic
Dance You Off,2018,7,274,Sweden
La Forza,2018,8,245,Estonia
Higher Ground,2018,9,226,Denmark
My Lucky Day,2018,10,209,Moldova
Mall,2018,11,184,Albania
When We're Old,2018,12,181,Lithuania
Mercy,2018,13,173,France
Bones,2018,14,166,Bulgaria
That's How You Write a Song,2018,15,144,Norway
Together,2018,16,136,Ireland
Under the Ladder,2018,17,130,Ukraine
Outlaw In 'Em,2018,18,121,Netherlands
Nova Deca,2018,19,113,Serbia
We Got Love,2018,20,99,Australia
Viszlát Nyár,2018,21,93,Hungary
Hvala ne!,2018,22,64,Slovenia
Tu Canción,2018,23,61,Spain
Storm,2018,24,48,United Kingdom
Monsters,2018,25,46,Finland
O Jardim,2018,26,39,Portugal
Arcade,2019,1,498,Netherlands
Soldi,2019,2,472,Italy
Scream,2019,3,370,Russia
She Got Me,2019,4,364,Switzerland
Too Late for Love,2019,5,334,Sweden
Spirit in the Sky,2019,6,331,Norway
Proud,2019,7,305,North Macedonia
Truth,2019,8,302,Azerbaijan
Zero Gravity,2019,9,284,Australia
Hatrið mun sigra,2019,10,232,Iceland
Friend of a Friend,2019,11,157,Czech Republic
Love Is Forever,2019,12,120,Denmark
Replay,2019,13,109,Cyprus
Chameleon,2019,14,107,Malta
Sebi,2019,15,105,Slovenia
Roi,2019,16,105,France
Ktheju Tokës,2019,17,90,Albania
Kruna,2019,18,89,Serbia
Say Na Na Na,2019,19,77,San Marino
Storm,2019,20,76,Estonia
Better Love,2019,21,74,Greece
La Venda,2019,22,54,Spain
Home,2019,23,35,Israel
Like It,2019,24,31,Belarus
Sister,2019,25,24,Germany
Bigger Than Us,2019,26,11,United Kingdom
