,year,performer,song
215,1970,Dominique Dussault,Marlène
216,1970,Eva Sršen,"Pridi, Dala Ti Bom Cvet"
217,1970,David-Alexandre Winter,Je Suis Tombé Du Ciel
218,1971,Séverine,"Un Banc, Un Arbre, Une Rue"
219,1971,Karina,En Un Mundo Nuevo
220,1971,Katja Ebstein,Diese Welt
221,1971,Clodagh Rodgers,Jack In The Box
222,1971,Massimo Ranieri,L'amore è Un Attimo
223,1971,Family Four,Vita Vidder
224,1971,Saskia and Serge,De Tijd
225,1971,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään
226,1971,Tonicha,Menina Do Alto Da Serra
227,1971,Serge Lama,Un Jardin Sur La Terre
228,1971,Angela Farrell,One Day Love
229,1971,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans
230,1971,Monique Melsen,"Pomme, Pomme, Pomme"
231,1971,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen"
232,1971,Krunoslav Slabinac,Tvoj Djecak Je Tuzan
233,1971,Marianne Mendt,Musik
234,1971,Hanne Krogh,Lykken Er...
235,1971,Joe Grech,Marija L-Maltija
236,1972,Vicky Leandros,Après Toi
237,1972,The New Seekers,"Beg, Steal Or Borrow"
238,1972,Mary Roos,Nur Die Liebe Läßt Uns Leben
239,1972,Sandra and Andres,Als Het Om De Liefde Gaat
240,1972,The Milestones,Falter Im Wind
241,1972,Nicola di Bari,I Giorni Dell' Arcobaleno
242,1972,Carlos Mendes,A Festa Da Vida
243,1972,Véronique Müller,C'est La Chanson De Mon Amour
244,1972,Tereza,Muzika I Ti
245,1972,Jaime Morey,Amanece
246,1972,Betty Mars,Comé-comédie
247,1972,Päivi Paunu and Kim Floor,Muistathan
248,1972,Family Four,Härliga Sommardag
249,1972,Grethe Kausland & Benny Borg,Småting
250,1972,Sandie Jones,Ceol On Ghrá
251,1972,Anne-Marie Godart and Peter MacLane,Comme On S'aime
252,1972,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout
253,1972,Helen and Joseph,L-imħabba
254,1973,Anne-Marie David,Tu Te Reconnaîtras
255,1973,Mocedades,Eres Tú
256,1973,Cliff Richard,Power To All Our Friends
257,1973,Ilanit,Ey-sham
258,1973,The Nova and The Dolls,You're Summer
259,1973,Marion Rung,Tom Tom Tom
260,1973,Bendik Singers,It's Just A Game
261,1973,Gitte,Junger Tag
262,1973,Marie,Un Train Qui Part
263,1973,Fernando Tordo,Tourada
264,1973,Maxi,Do I Dream?
265,1973,Patrick Juvet,"Je Me Vais Marier, Marie"
266,1973,Massimo Ranieri,Chi Sarà Con Te
267,1973,Ben Cramer,De Oude Muzikant
268,1973,Zdravko Colic,Gori Vatra
269,1973,Martine Clémenceau,Sans Toi
270,1973,Nicole and Hugo,"Baby, Baby"
271,1974,ABBA,Waterloo
272,1974,Gigliola Cinquetti,Si
273,1974,Mouth and MacNeal,I See A Star
274,1974,Olivia Newton-John,Long Live Love
275,1974,Ireen Sheer,"Bye, Bye, I Love You"
276,1974,Romuald,Celui Qui Reste Et Celui Qui S'en Va
277,1974,Kaveret (Poogy),Natati La Khayay
278,1974,Tina,Cross Your Heart
279,1974,Peret,Canta Y Se Feliz
280,1974,Jacques Hustin,Fleur De Liberté
281,1974,Marinella,"Krassi, Thalassa Ke T'agori Mou"
282,1974,Korni,Moja Generacija
283,1974,Carita,Äla Mene Pois (keep Me Warm)
284,1974,Anne-Karine Ström and the Bendik Singers,The First Day Of Love
285,1974,Cindy und Bert,Die Sommermelodie
286,1974,Piera Martell,Mein Ruf Nach Dir
287,1974,Paulo de Carvalho,E Depois Do Adeus
288,1975,Teach-In,Ding-A-Dong
289,1975,The Shadows,Let Me Be The One
290,1975,Wess & Dori Ghezzi,Era
291,1975,Nicole Rieu,Et Bonjour à Toi L'artiste
292,1975,Géraldine,Toi
293,1975,Simone Drexel,Mikado
294,1975,Pihasoittajat,Old Man Fiddle
295,1975,Lars Berghagen and the Dolls,"Jennie, Jennie"
296,1975,The Swarbriggs,That's What Friends Are For
297,1975,Sergio & Estíbaliz,Tú Volverás
298,1975,Shlomo Artzi,At Va'Ani
299,1975,Renato,Singing This Song
300,1975,Pepel In Kri,Dan Ljubezni
301,1975,Sophie,Une Chanson C'est Une Lettre
302,1975,Ann Christy,Gelukkig Zijn
303,1975,Duarte Mendes,Madrugada
304,1975,Joy Fleming,Ein Lied Kann Eine Brücke Sein
305,1975,Ellen Nikolaysen,You Touched My Life With Summer
306,1975,Semiha Yanki,Seninle Bir Dakika
307,1976,Brotherhood of Man,Save Your Kisses For Me
308,1976,Catherine Ferry,"Un, Deux, Trois"
309,1976,Mary Christy,"Toi, La Musique Et Moi"
310,1976,"Peter, Sue and Marc","Djambo, Djambo"
311,1976,Waterloo and Robinson,My Little World
312,1976,"Chocolate, Menta, Mastik",Emor Shalom
313,1976,Romina and Al Bano,We'll Live It All Again
314,1976,Pierre Rapsat,Judy Et Cie.
315,1976,Sandra Reemer,The Party's Over Now
316,1976,Red Hurley,When
317,1976,Fredi and The Friends,Pump-pump
318,1976,Carlos do Carmo,Uma Flor De Verde Pinho
319,1976,Mariza Koch,"Panaghia Mou, Panaghia Mou"
320,1976,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment
321,1976,Les Humphries Singers,"Sing, Sang, Song"
322,1976,Braulio,Sobran Las Palabras
323,1976,Ambasadori,Ne Mogu Skriti Svoju Bol
324,1976,Anne-Karine Ström,Mata Hari
325,1977,Marie Myriam,L'oiseau Et L'enfant
326,1977,Lynsey de Paul and Mike Moran,Rock Bottom
327,1977,The Swarbriggs Plus Two,It's Nice To Be In Love Again
328,1977,Michèle Torr,Une Petite Française
329,1977,"Pascalis, Marianna, Robert and Bessy",Mathima Solfez
330,1977,Pepe Lienhard Band,Swiss Lady
331,1977,Dream Express,"A Million In One, Two, Three"
332,1977,Silver Convention,Telegram
333,1977,Micky,Enseñame A Cantar
334,1977,Monica Aspelund,Lapponia
335,1977,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim
336,1977,Heddy Lester,De Mallemolen
337,1977,Mia Martini,Liberà
338,1977,Anita Skorgan,Casanova
339,1977,Os Amigos,Portugal No Coração
340,1977,Anne Marie B.,Frère Jacques
341,1977,Schmetterlinge,Boom Boom Boomerang
342,1977,Forbes,Beatles
343,1978,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi
344,1978,Jean Vallée,L'amour ça Fait Chanter La Vie
345,1978,Joël Prévost,Il Y Aura Toujours Des Violons
346,1978,Caline and Olivier Toussaint,Les Jardins De Monaco
347,1978,Colm T. Wilkinson,Born To Sing
348,1978,Ireen Sheer,Feuer
349,1978,Baccara,Parlez-vous Français?
350,1978,Tania Tsanaklidou,Charlie Chaplin
351,1978,José Vélez,Bailemos Un Vals
352,1978,Carole Vinci,Vivre
353,1978,Co-Co,The Bad Old Days
354,1978,Ricchi e Poveri,Questo Amore
355,1978,Harmony,'t Is Ok
356,1978,Björn Skifs,Det Blir Alltid Värre Framåt Natten
357,1978,Springtime,Mrs. Caroline Robinson
358,1978,Mabel,Boom Boom
359,1978,Gemini,Dai-li-dou
360,1978,Seija Simola,Anna Rakkaudelle Tilaisuus
361,1978,Nazar,Sevince
362,1978,Jahn Teigen,Mil Etter Mil
363,1979,Milk and Honey,Hallelujah
364,1979,Betty Missiego,Su Canción
365,1979,Anne-Marie David,Je Suis L'enfant-soleil
366,1979,Dschinghis Khan,
367,1979,Cathal Dunne,Happy Man
368,1979,Tommy Seebach,Disco Tango
369,1979,Black Lace,Mary Ann
370,1979,Elpida,Socrati
371,1979,Manuela Bravo,"Sobe, Sobe, Balão Sobe"
372,1979,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.
373,1979,Anita Skorgan,Oliver
374,1979,Xandra,Colorado
375,1979,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux
376,1979,Katri-Helena,Katson Sineen Taivaan
377,1979,Matia Bazar,Raggio Di Luna
378,1979,Laurent Vaguener,"Notre Vie, C'est La Musique"
379,1979,Ted Gärdestad,Satellit
380,1979,Micha Marah,Hey Nana
381,1979,Christina Simon,Heute In Jerusalem
382,1980,Johnny Logan,What's Another Year
383,1980,Katja Ebstein,Theater
384,1980,Prima Donna,Love Enough For Two
385,1980,Paola,Cinéma
386,1980,Maggie MacNeal,Amsterdam
387,1980,Alan Sorrenti,Non So Che Darei
388,1980,José Cid,"Um Grande, Grande Amor"
389,1980,Blue Danube,Du Bist Musik
