,year,performer,song
1188,2010,Kristina Pelakova,Horehronie
1189,2010,Miro,Angel Si Ti
1190,2010,Aisha,What For?
1191,2010,Ansambel Žlindra & Kalamari,Narodnozabavni Rock
1192,2010,Michael von der Heide,Il Pleut de L'Or
1193,2011,Ell/Nikki,Running Scared
1194,2011,Raphael Gualazzi,Madness Of Love
1195,2011,Eric Saade,Popular
1196,2011,Mika Newton,Angel
1197,2011,A Friend In London,New Tomorrow
1198,2011,Dino Merlin,Love In Rewind
1199,2011,Loucas Yiorkas feat. Stereo Mike,Watch My Dance
1200,2011,Jedward,Lipstick
1201,2011,Eldrine,One More Day
1202,2011,Lena,Taken By A Stranger
1203,2011,Blue,I Can
1204,2011,Zdob și Zdub,So Lucky
1205,2011,Maja Keuc,No One
1206,2011,Nina,Čaroban
1207,2011,Amaury Vassili,Sognu
1208,2011,Alexej Vorobjov,Get You
1209,2011,Hotel FM,Change
1210,2011,Nadine Beiler,The Secret Is Love
1211,2011,Evelina Sašenko,C'est Ma Vie
1212,2011,Sjonni's Friends,Coming Home
1213,2011,Paradise Oskar,Da Da Dam
1214,2011,Kati Wolf,What About My Dreams?
1215,2011,Lucía Pérez,Que Me Quiten Lo Bailao
1216,2011,Getter Jaani,Rockefeller Street
1217,2011,Anna Rossinelli,In Love For A While
1218,2011,Glen Vella,One Life
1219,2011,Emmy,Boom Boom
1220,2011,Witloof Bay,With Love Baby
1221,2011,Yüksek Sadakat,Live It Up
1222,2011,Aurela Gaçe,Feel The Passion
1223,2011,Poli Genova,Na Inat
1224,2011,TWiiNS,I'm Still Alive
1225,2011,Anastasiya Vinnikova,I Love Belarus
1226,2011,Daria,Celebrate
1227,2011,Dana International,Ding Dong
1228,2011,Vlatko Ilievski,Rusinka
1229,2011,Senit,Stand By
1230,2011,Stella Mwangi,Haba Haba
1231,2011,Musiqq,Angel In Disguise
1232,2011,Homens Da Luta,Luta É Alegria
1233,2011,Magdalena Tul,Jestem
1234,2011,Christos Mylordos,San Aggelos S'agapisa
1235,2011,3JS,Never Alone
1236,2012,Loreen,Euphoria
1237,2012,Buranovskiye Babushki,Party For Everybody
1238,2012,Željko Joksimović,Nije Ljubav Stvar
1239,2012,Sabina Babayeva,When The Music Dies
1240,2012,Rona Nishliu,Suus
1241,2012,Ott Lepland,Kuula
1242,2012,Can Bonomo,Love Me Back
1243,2012,Roman Lob,Standing Still
1244,2012,Nina Zilli,L'Amore È Femmina (Out Of Love)
1245,2012,Pastora Soler,Quédate Conmigo
1246,2012,Pasha Parfeny,Lăutar
1247,2012,Mandinga,Zaleilah
1248,2012,Kaliopi,Crno I Belo
1249,2012,Donny Montell,Love Is Blind
1250,2012,Gaitana,Be My Guest
1251,2012,Ivi Adamou,La La Love
1252,2012,Eleftheria Eleftheriou,Aphrodisiac
1253,2012,Maya Sar,Korake Ti Znam
1254,2012,Jedward,Waterline
1255,2012,Greta Salóme & Jónsi,Never Forget
1256,2012,Kurt Calleja,This Is The Night
1257,2012,Anggun,Echo (You And I)
1258,2012,Soluna Samay,Should've Known Better
1259,2012,Compact Disco,Sound Of Our Hearts
1260,2012,Engelbert Humperdinck,Love Will Set You Free
1261,2012,Tooji,Stay
1262,2012,Sofi Marinova,Love Unlimited
1263,2012,Sinplus,Unbreakable
1264,2012,Nina Badrić,Nebo
1265,2012,Pernilla,När Jag Blundar
1266,2012,Filipa Sousa,Vida Minha
1267,2012,Anri Jokhadze,I'm A Joker
1268,2012,Joan Franka,You And Me
1269,2012,Litesound,We Are The Heroes
1270,2012,Izabo,Time
1271,2012,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh)
1272,2012,Eva Boto,Verjamem
1273,2012,Max Jason Mai,Don't Close Your Eyes
1274,2012,Rambo Amadeus,Euro Neuro
1275,2012,Anmary,Beautiful Song
1276,2012,Iris,Would You?
1277,2012,Trackshittaz,Woki Mit Deim Popo
1278,2013,Emmelie de Forest,Only Teardrops
1279,2013,Farid Mammadov,Hold Me
1280,2013,Zlata Ognevich,Gravity
1281,2013,Margaret Berger,I Feed You My Love
1282,2013,Dina Garipova,What If
1283,2013,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free
1284,2013,Marco Mengoni,L'Essenziale
1285,2013,Gianluca,Tomorrow
1286,2013,Anouk,Birds
1287,2013,ByeAlex,Kedvesem
1288,2013,Aliona Moon,O Mie
1289,2013,Roberto Bellarosa,Love Kills
1290,2013,Cezar,It's My Life
1291,2013,Robin Stjernberg,You
1292,2013,Nodi Tatishvili & Sophie Gelovani,Waterfall
1293,2013,Alyona Lanskaya,Solayoh
1294,2013,Eythor Ingi,Ég Á Líf
1295,2013,Dorians,Lonely Planet
1296,2013,Bonnie Tyler,Believe In Me
1297,2013,Birgit,Et Uus Saaks Alguse
1298,2013,Cascada,Glorious
1299,2013,Andrius Pojavis,Something
1300,2013,Amandine Bourgeois,L'enfer Et Moi
1301,2013,Krista Siegfrids,Marry Me
1302,2013,ESDM,Contigo Hasta El Final (With You Until The End)
1303,2013,Ryan Dolan,Only Love Survives
1304,2013,Moje 3,Ljubav Je Svuda
1305,2013,Valentina Monetta,Crisalide (Vola)
1306,2013,"Elitsa Todorova, Stoyan Yankulov",Samo Shampioni
1307,2013,Who See,Igranka
1308,2013,Takasa,You And Me
1309,2013,Klapa s mora,Mižerja
1310,2013,Moran Mazor,Rak Bishvilo
1311,2013,Adrian Lulgjuraj & Bledar Sejko,Identitet
1312,2013,Natália Kelly,Shine
1313,2013,Esma & Lozano,Pred Da Se Razdeni
1314,2013,PeR,Here We Go
1315,2013,Despina Olympiou,An Me Thimasai
1316,2013,Hannah,Straight Into Love
1317,2014,Conchita Wurst,Rise Like a Phoenix
1318,2014,The Common Linnets,Calm After The Storm
1319,2014,Sanna Nielsen,Undo
1320,2014,Aram MP3,Not Alone
1321,2014,András Kállay-Saunders,Running
1322,2014,Mariya Yaremchuk,Tick - Tock
1323,2014,Tolmachevy Sisters,Shine
1324,2014,Carl Espen,Silent Storm
1325,2014,Basim,Cliche Love Song
1326,2014,Ruth Lorenzo,Dancing in the rain
1327,2014,Softengine,Something Better
1328,2014,Paula Seling & OVI,Miracle
1329,2014,Sebalter,Hunter Of Stars
1330,2014,Donatan & Cleo,My Słowianie - We Are Slavic
1331,2014,Pollapönk,No Prejudice
1332,2014,Teo,Cheesecake
1333,2014,Molly,Children of the Universe
1334,2014,Elaiza,Is It Right
1335,2014,Sergej Ćetković,Moj Svijet
1336,2014,Freaky Fortune feat. RiskyKidd,Rise Up
1337,2014,Emma,La Mia Città
1338,2014,Dilara Kazimova,Start A Fire
1339,2014,Firelight,Coming Home
1340,2014,Valentina Monetta,Maybe (Forse)
1341,2014,Tinkara Kovač,Round and Round
1342,2014,TWIN TWIN,Moustache
1343,2014,Suzy,Quero Ser Tua
1344,2014,Vilija Matačiūnaitė,Attention
1345,2014,Can-Linn feat. Kasey Smith,Heartbeat
1346,2014,Tanja,Amazing
1347,2014,Tijana,To the Sky
1348,2014,Aarzemnieki,Cake To Bake
1349,2014,Axel Hirsoux,Mother
1350,2014,Hersi,One Night's Anger
1351,2014,Mei Finegold,Same Heart
1352,2014,The Shin and Mariko,Three Minutes To Earth
1353,2014,Cristina Scarlat,Wild Soul
1354,2015,Måns Zelmerlöw,Heroes
1355,2015,Polina Gagarina,A Million Voices
1356,2015,Il Volo,Grande Amore
1357,2015,Loïc Nottet,Rhythm Inside
1358,2015,Guy Sebastian,Tonight Again
1359,2015,Aminata Savadogo,Love Injected
1360,2015,Elina Born & Stig Rästa,Goodbye to Yesterday
1361,2015,Mørland & Debrah Scarlett,A Monster Like Me
1362,2015,Nadav Guedj,Golden Boy
1363,2015,Bojana Stamenov,Beauty Never Lies
1364,2015,Nina Sublatti,Warrior
1365,2015,Elnur Hüseynov,Hour Of The Wolf
1366,2015,Knez,Adio
1367,2015,Maraaya,Here for You
1368,2015,Voltaj,De La Capăt / All Over Again
1369,2015,Genealogy,Face The Shadow
1370,2015,Elhaida Dani,I'm Alive
1371,2015,Monika & Vaidas,This Time
1372,2015,Maria Elena Kyriakou,One Last Breath
1373,2015,Boggie,Wars For Nothing
1374,2015,Edurne,Amanecer
1375,2015,John Karayiannis,One Thing I Should Have Done
1376,2015,Monika Kuszyńska,In The Name Of Love
1377,2015,Electro Velvet,Still in Love with You
1378,2015,Lisa Angell,N’oubliez pas
1379,2015,The Makemakes,I Am Yours
1380,2015,Ann Sophie,Black Smoke
1381,2015,Eduard Romanyuta,I Want Your Love
1382,2015,Amber,Warrior
1383,2015,Uzari & Maimuna,Time
1384,2015,Molly Sterling,Playing With Numbers
1385,2015,Anti Social Media,The Way You Are
1386,2015,Trijntje Oosterhuis,Walk Along
1387,2015,Marta Jandová & Václav Noid Bárta,Hope Never Dies
1388,2015,Daniel Kajmakoski,Autumn Leaves
1389,2015,Leonor Andrade,Há um mar que nos Separa
1390,2015,María Ólafsdóttir,Unbroken
1391,2015,Pertti Kurikan Nimipäivät,Aina Mun Pitää
1392,2015,Michele Perniola & Anita Simoncini,Chain Of Lights
1393,2015,Mélanie René,Time To Shine
1394,2016,Jamala,1944
1395,2016,Dami Im,Sound of Silence
1396,2016,Sergey Lazarev,You Are the Only One
1397,2016,Poli Genova,If Love Was a Crime
1398,2016,Frans,If I Were Sorry
1399,2016,Amir,J'ai Cherché
1400,2016,Iveta Mukuchyan,LoveWave
1401,2016,Michał Szpak,Color of Your Life
1402,2016,Donny Montell,I've Been Waiting for This Night
1403,2016,Laura Tesoro,What's the Pressure
1404,2016,Douwe Bob,Slow Down
1405,2016,Ira Losco,Walk on Water
1406,2016,Zoë,Loin d'ici
1407,2016,Hovi Star,Made of Stars
1408,2016,Justs,Heartbeat
1409,2016,Francesca Michielin,No Degree of Separation
1410,2016,Samra,Miracle
1411,2016,Sanja Vučić ZAA,Goodbye (Shelter)
1412,2016,Freddie,Pioneer
1413,2016,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold
1414,2016,Minus One,Alter Ego
1415,2016,Barei,Say Yay!
1416,2016,Nina Kraljić,Lighthouse
1417,2016,Joe & Jake,You're Not Alone
1418,2016,Gabriela Gunčíková,I Stand
1419,2016,Jamie-Lee Kriewitz,Ghost
1420,2016,Dalal & Deen feat. Ana Rucner & Jala,Ljubav Je
1421,2016,Kaliopi,Dona
1422,2016,Ivan,Help You Fly
1423,2016,Serhat,I Didn't Know
1424,2016,Agnete,Icebreaker
1425,2016,Highway,The Real Thing
1426,2016,ManuElla,Blue and Red
1427,2016,Greta Salóme,Hear Them Calling
1428,2016,Sandhja,Sing It Away
1429,2016,Nicky Byrne,Sunlight
1430,2016,Eneda Tarifa,Fairytale
1431,2016,Argo,Utopian Land
1432,2016,Lighthouse X,Soldiers of Love
1433,2016,Lidia Isac,Falling Stars
1434,2016,Rykka,The Last of Our Kind
1435,2016,Jüri Pootsmann,Play
1436,2017,Salvador Sobral,Amar Pelos Dois
1437,2017,Kristian Kostov,Beautiful Mess
1438,2017,Sunstroke Project,Hey Mamma
1439,2017,Blanche,City Lights
1440,2017,Robin Bengtsson,I Can't Go On
1441,2017,Francesco Gabbani,Occidentali's Karma
1442,2017,Ilinca feat. Alex Florea,Yodel It!
1443,2017,Joci Pápai,Origo
1444,2017,Isaiah Firebrace,Don't Come Easy
1445,2017,Jowst,Grab the Moment
1446,2017,OG3NE,Lights And Shadows
1447,2017,Alma,Requiem
1448,2017,Jacques Houdek,My Friend
1449,2017,Dihaj,Skeletons
1450,2017,Lucie Jones,Never Give Up on You
1451,2017,Nathan Trent,Running On Air
1452,2017,Naviband,Historyja Majho Zyccia
1453,2017,Artsvik,Fly With Me
1454,2017,Demy,This is Love
1455,2017,Anja,Where I Am
1456,2017,Hovig,Gravity
1457,2017,Kasia Moś,Flashlight
1458,2017,Imri Ziv,I Feel Alive
1459,2017,O.Torvald,Time
1460,2017,Levina,Perfect Life
1461,2017,Manel Navarro,Do It for Your Lover
1462,2017,Tamara Gachechiladze,Keep The Faith
1463,2017,Tijana Bogićević,In Too Deep
1464,2017,Timebelle,Apollo
1465,2017,Norma John,Blackbird
1466,2017,Brendan Murray,Dying To Try
1467,2017,Koit Toome & Laura,Verona
1468,2017,Martina Bárta,My Turn
1469,2017,Lindita,World
1470,2017,Jana Burčeska,Dance Alone
1471,2017,Svala,Paper
1472,2017,Slavko Kalezić,Space
1473,2017,Claudia Faniello,Breathlessly
1474,2017,Fusedmarc,Rain Of Revolution
1475,2017,Omar Naber,On My Way
1476,2017,Triana Park,Line
1477,2017,Valentina Monetta & Jimmie Wilson,Spirit Of The Night
1478,2018,Netta Barzilai,Toy
1479,2018,Eleni Foureira,Fuego
1480,2018,Cesár Sampson,Nobody But You
1481,2018,Michael Schulte,You Let Me Walk Alone
1482,2018,Ermal Meta & Fabrizio Moro,Non Mi Avete Fatto Niente
1483,2018,Mikolas Josef,Lie To Me
1484,2018,Benjamin Ingrosso,Dance You Off
1485,2018,Elina Nechayeva,La Forza
1486,2018,Rasmussen,Higher Ground
1487,2018,DoReDos,My Lucky Day
1488,2018,Eugent Bushpepa,Mall
1489,2018,Ieva Zasimauskaitė,When We're Old
1490,2018,Madame Monsieur,Mercy
1491,2018,Equinox,Bones
1492,2018,Alexander Rybak,That's How You Write a Song
1493,2018,Ryan O'Shaughnessy,Together
1494,2018,Mélovin,Under the Ladder
1495,2018,Waylon,Outlaw In 'Em
1496,2018,Sanja Ilić & Balkanika,Nova Deca
1497,2018,Jessica Mauboy,We Got Love
1498,2018,AWS,Viszlát Nyár
1499,2018,Lea Sirk,"Hvala, ne!"
1500,2018,Amaia & Alfred,Tu Canción
1501,2018,SuRie,Storm
1502,2018,Saara Aalto,Monsters
1503,2018,Cláudia Pascoal,O Jardim
1504,2018,The Humans,Goodbye
1505,2018,Laura Rizzotto,Funny Girl
1506,2018,Christabelle,Taboo
1507,2018,Aisel,X My Heart
1508,2018,Sennek,A Matter of Time
1509,2018,Zibbz,Stones
1510,2018,Gromee feat. Lukas Meijer,Light Me Up
1511,2018,Yianna Terzi,Oniro Mou
1512,2018,Sevak Khanagyan,Qami
1513,2018,Julia Samoylova,I Won't Break
1514,2018,Alekseev,Forever
1515,2018,Franka,Crazy
1516,2018,Vanja Radovanović,Inje
1517,2018,Jessika feat. Jenifer Brening,Who We Are
1518,2018,Ethno-Jazz Band Iriao,For You
1519,2018,Eye Cue,Lost And Found
1520,2018,Ari Ólafsson,Our Choice
1521,2019,Duncan Laurence,Arcade
1522,2019,Mahmood,Soldi
1523,2019,Sergey Lazarev,Scream
1524,2019,Luca Hänni,She Got Me
1525,2019,John Lundvik,Too Late for Love
1526,2019,KEiiNO,Spirit in the Sky
1527,2019,Tamara Todevska,Proud
1528,2019,Chingiz,Truth
1529,2019,Kate Miller-Heidke,Zero Gravity
1530,2019,Hatari,Hatrið mun sigra
1531,2019,Lake Malawi,Friend of a Friend
1532,2019,Leonora,Love Is Forever
1533,2019,Tamta,Replay
1534,2019,Michela Pace,Chameleon
1535,2019,Zala Kralj & Gašper Šantl,Sebi
1536,2019,Bilal Hassani,Roi
1537,2019,Jonida Maliqi,Ktheju Tokës
1538,2019,Nevena Božović,Kruna
1539,2019,Serhat,Say Na Na Na
1540,2019,Victor Crone,Storm
1541,2019,Katerine Duska,Better Love
1542,2019,Miki,La Venda
1543,2019,Kobi Marimi,Home
1544,2019,Zena,Like It
1545,2019,S!sters,Sister
1546,2019,Michael Rice,Bigger Than Us
1547,2019,Tulia,Pali się
1548,2019,Joci Pápai,Az én apám
1549,2019,Jurij Veklenko,Run with the Lions
1550,2019,Anna Odobescu,Stay
1551,2019,Eliot,Wake Up
1552,2019,Ester Peony,On a Sunday
1553,2019,Oto Nemsadze,Keep on Going
1554,2019,Roko,The Dream
1555,2019,Conan Osíris,Telemóveis
1556,2019,Carousel,That Night
1557,2019,Srbuk,Walking Out
1558,2019,D mol,Heaven
1559,2019,Darude feat. Sebastian Rejman,Look Away
1560,2019,Pænda,Limits
1561,2019,Sarah McTernan,22
1562,2020,Tom Leeb,The Best in Me
1563,2020,Ben Dolic,Violent Thing
1564,2020,Diodato,Fai rumore
1565,2020,Jeangu Macrooy,Grow
1566,2020,Blas Cantó,Universo
1567,2020,James Newman,My Last Breath
1568,2020,Montaigne,Don't Break Me
1569,2020,VAL,Da vidna
1570,2020,Lesley Roy,Story Of My Life
1571,2020,The Roop,On Fire
1572,2020,Vasil,You
1573,2020,Little Big,Uno
1574,2020,Ana Soklič,Voda
1575,2020,The Mamas,Move
1576,2020,Samira Efendi,Cleopatra
1577,2020,Hooverphonic,Release Me
1578,2020,Damir Kedžo,Divlji vjetre
1579,2020,Sandro Nicolas,Running
1580,2020,Eden Alene,Feker Libi
1581,2020,Destiny,All Of My Love
1582,2020,Ulrikke Brandstorp,Attention
1583,2020,Roxen,Alcohol You
1584,2020,Go_A,Solovey
1585,2020,Vincent Bueno,Alive
1586,2020,Benny Cristo,Kemama
1587,2020,Uku Suviste,What Love Is
1588,2020,Stefania,Superg!rl​
1589,2020,Daði & Gagnamagnið,Think About Things
1590,2020,Natalia Gordienko,Prison
1591,2020,Alicja Szemplińska,Empires
1592,2020,Senhit,Freaky!
1593,2020,Hurricane,Hasta la vista
1594,2020,Arilena Ara,Fall From The Sky
1595,2020,Athena Manoukian,Chains On You
1596,2020,Victoria,Tears Getting Sober
1597,2020,Ben & Tan,Yes
1598,2020,Aksel Kankaanranta,Looking Back
1599,2020,Tornike Kipiani,Take Me As I Am
1600,2020,Samanta Tīna,Still Breathing
1601,2020,Elisa,Medo de sentir
1602,2020,Gjon's Tears,Répondez-moi
