year,to_country,song
1974,Greece,Krassi Thalassa Ke T'agori Mou
1974,Yugoslavia,Moja Generacija
1974,Finland,Äla Mene Pois (keep Me Warm)
1974,Norway,The First Day Of Love
1974,Germany,Die Sommermelodie
1974,Switzerland,Mein Ruf Nach Dir
1974,Portugal,E Depois Do Adeus
1975,Netherlands,Ding-A-Dong
1975,United Kingdom,Let Me Be The One
1975,Italy,Era
1975,France,Et Bonjour à Toi L'artiste
1975,Luxembourg,Toi
1975,Switzerland,Mikado
1975,Finland,Old Man Fiddle
1975,Sweden,Jennie Jennie
1975,Ireland,That's What Friends Are For
1975,Spain,Tú Volverás
1975,Israel,At Va'Ani
1975,Malta,Singing This Song
1975,Yugoslavia,Dan Ljubezni
1975,Monaco,Une Chanson C'est Une Lettre
1975,Belgium,Gelukkig Zijn
1975,Portugal,Madrugada
1975,Germany,Ein Lied Kann Eine Brücke Sein
1975,Norway,You Touched My Life With Summer
1975,Turkey,Seninle Bir Dakika
1976,United Kingdom,Save Your Kisses For Me
1976,France,Un Deux Trois
1976,Monaco,Toi La Musique Et Moi
1976,Switzerland,Djambo Djambo
1976,Austria,My Little World
1976,Israel,Emor Shalom
1976,Italy,We'll Live It All Again
1976,Belgium,Judy Et Cie.
1976,Netherlands,The Party's Over Now
1976,Ireland,When
1976,Finland,Pump-pump
1976,Portugal,Uma Flor De Verde Pinho
1976,Greece,Panaghia Mou Panaghia Mou
1976,Luxembourg,Chansons Pour Ceux Qui S'aiment
1976,Germany,Sing Sang Song
1976,Spain,Sobran Las Palabras
1976,Yugoslavia,Ne Mogu Skriti Svoju Bol
1976,Norway,Mata Hari
1977,France,L'oiseau Et L'enfant
1977,United Kingdom,Rock Bottom
1977,Ireland,It's Nice To Be In Love Again
1977,Monaco,Une Petite Française
1977,Greece,Mathima Solfez
1977,Switzerland,Swiss Lady
1977,Belgium,A Million In One Two Three
1977,Germany,Telegram
1977,Spain,Enseñame A Cantar
1977,Finland,Lapponia
1977,Israel,Ah-haa-vah Hee Shir Lish-naa-yim
1977,Netherlands,De Mallemolen
1977,Italy,Liberà
1977,Norway,Casanova
1977,Portugal,Portugal No Coração
1977,Luxembourg,Frère Jacques
1977,Austria,Boom Boom Boomerang
1977,Sweden,Beatles
1978,Israel,A-Ba-Ni-Bi
1978,Belgium,L'amour ça Fait Chanter La Vie
1978,France,Il Y Aura Toujours Des Violons
1978,Monaco,Les Jardins De Monaco
1978,Ireland,Born To Sing
1978,Germany,Feuer
1978,Luxembourg,Parlez-vous Français?
1978,Greece,Charlie Chaplin
1978,Spain,Bailemos Un Vals
1978,Switzerland,Vivre
1978,United Kingdom,The Bad Old Days
1978,Italy,Questo Amore
1978,Netherlands,'t Is Ok
1978,Sweden,Det Blir Alltid Värre Framåt Natten
1978,Austria,Mrs. Caroline Robinson
1978,Denmark,Boom Boom
1978,Portugal,Dai-li-dou
1978,Finland,Anna Rakkaudelle Tilaisuus
1978,Turkey,Sevince
1978,Norway,Mil Etter Mil
1979,Israel,Hallelujah
1979,Spain,Su Canción
1979,France,Je Suis L'enfant-soleil
1979,Germany,nan
1979,Ireland,Happy Man
1979,Denmark,Disco Tango
1979,United Kingdom,Mary Ann
1979,Greece,Socrati
1979,Portugal,Sobe Sobe Balão Sobe
1979,Switzerland,Trödler Und Co.
1979,Norway,Oliver
1979,Netherlands,Colorado
1979,Luxembourg,J'ai Déjà Vu ça Dans Tes Yeux
