,year,to_country,performer,song,place_final,points_final
750,1997,Spain,Marcos Llunas,Sin Rencor,6.0,96.0
751,1997,France,Fanny,Sentiments Songes,7.0,95.0
752,1997,Estonia,Maarja-Liis Ilus,Keelatud Maa,8.0,82.0
753,1997,Malta,Debbie Scerri,Let Me Fly,9.0,66.0
754,1997,Slovenia,Tanja Ribič,Zbudi Se,10.0,60.0
755,1997,Poland,Anna Maria Jopek,Ale Jestem,11.0,54.0
756,1997,Greece,Marianna Zorba,Horepse,12.0,39.0
757,1997,Hungary,VIP,"Miert Kell, Hogy Elmenj?",12.0,39.0
758,1997,Sweden,Blond,Bara Hon älskar Mig,14.0,36.0
759,1997,Russia,Alla Pugachova,Primadonna,15.0,33.0
760,1997,Denmark,Kølig Kaj,Stemmen I Mit Liv,16.0,25.0
761,1997,Croatia,ENI,Probudi Me,17.0,24.0
762,1997,Germany,Bianca Shomburg,Zeit,18.0,22.0
763,1997,Bosnia & Herzegovina,Alma Cardzic,Goodbye,18.0,22.0
764,1997,Iceland,Paul Oscar,Minn Hinsti Dans,20.0,18.0
765,1997,Austria,Bettina Soriat,One Step,21.0,12.0
766,1997,Switzerland,Barbara Berta,Dentro Di Me,22.0,5.0
767,1997,Netherlands,Mrs. Einstein,Niemand Heeft Nog Tijd,22.0,5.0
768,1997,Norway,Tor Endresen,San Francisco,24.0,0.0
769,1997,Portugal,Célia Lawson,Antes Do Adeus,24.0,0.0
770,1998,Israel,Dana International,Diva,1.0,172.0
771,1998,United Kingdom,Imaani,Where Are You?,2.0,166.0
772,1998,Malta,Chiara,The One That I Love,3.0,165.0
773,1998,Netherlands,Edsilia Rombley,Hemel En Aarde,4.0,150.0
774,1998,Croatia,Danijela,Neka Mi Ne Svane,5.0,131.0
775,1998,Belgium,Mélanie Cohl,Dis Oui,6.0,122.0
776,1998,Germany,Guildo Horn,Guildo Hat Euch Lieb,7.0,86.0
777,1998,Norway,Lars A. Fredriksen,Alltid Sommer,8.0,79.0
778,1998,Ireland,Dawn,Is Always Over Now?,9.0,64.0
779,1998,Sweden,Jill Johnson,Kärleken är,10.0,53.0
780,1998,Cyprus,Michael Hajiyanni,Genesis,11.0,37.0
781,1998,Portugal,Alma Lusa,Se Eu Te Pudesse Abraçar,12.0,36.0
782,1998,Estonia,Koit Toome,Mere Lapsed,12.0,36.0
783,1998,Turkey,Tüzmen,Unutamazsin,14.0,25.0
784,1998,Finland,Edea,Aava,15.0,22.0
785,1998,Spain,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?,16.0,21.0
786,1998,Poland,Sixteen,To Takie Proste,17.0,19.0
787,1998,Slovenia,Vili Resnik,Naj Bogovi Sliijo,18.0,17.0
788,1998,North Macedonia,Vlado Janevski,"Ne Zori, Zoro",19.0,16.0
789,1998,Greece,Dionysia and Thalassa group,Mia Krifi Evaisthissia,20.0,12.0
790,1998,Slovakia,Katarína Hasprová,Modlitba,21.0,8.0
791,1998,Romania,Malina Olinescu,Eu Cred,22.0,6.0
792,1998,Hungary,Charlie,A Holnap Már Ném Lesz Szomorú,23.0,4.0
793,1998,France,Marie-Line,Où Aller,24.0,3.0
794,1998,Switzerland,Gunvor,Lass Ihn,25.0,0.0
795,1999,Sweden,Charlotte Nilsson,Take Me To Your Heaven,1.0,163.0
796,1999,Iceland,Selma Björnsdóttir,All Out Of Luck,2.0,146.0
797,1999,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,3.0,140.0
798,1999,Croatia,Doris Dragović,Marija Magdalena,4.0,118.0
799,1999,Israel,Eden,Yom Huledeth,5.0,93.0
800,1999,Estonia,Evelin Samuel and Camille,Diamond Of Night,6.0,90.0
801,1999,Bosnia & Herzegovina,Dino and Beatrice,Putnici,7.0,86.0
802,1999,Denmark,Trine Jepsen & Michael Teschl,This Time (i Mean It),8.0,71.0
803,1999,Netherlands,Marlayne,One Good Reason,8.0,71.0
804,1999,Austria,Bobbie Singer,Reflection,10.0,65.0
805,1999,Slovenia,Darja Svajger,For A Thousand Years,11.0,50.0
806,1999,Belgium,Venessa Chinitor,Like The Wind,12.0,38.0
807,1999,United Kingdom,Precious,Say It Again,12.0,38.0
808,1999,Norway,Stig André Van Eijk,Living My Life Without You,14.0,35.0
809,1999,Malta,Times 3,Believe 'n Peace,15.0,32.0
810,1999,Turkey,Tuba Önal & Grup Mystik,Dön Artik,16.0,21.0
811,1999,Ireland,The Mullan's,When You Need Me,17.0,18.0
812,1999,Poland,Mietek Szczesniak,Przytul Mnie Mocno,18.0,17.0
813,1999,France,Nayah,Je Veux Donner Ma Voix,19.0,14.0
814,1999,Lithuania,Aiste Smilgeviciute,Strazdas,20.0,13.0
815,1999,Portugal,Rui Bandeira,Como Tudo Começou,21.0,12.0
816,1999,Cyprus,Marlain Angelidou,Tha'nai Erotas,22.0,2.0
817,1999,Spain,Lydia,No Quiero Escuchar,23.0,1.0
818,2000,Denmark,Olsen brothers,Fly On The Wings Of Love,1.0,195.0
819,2000,Russia,Alsou,Solo,2.0,155.0
820,2000,Latvia,BrainStorm,My Star,3.0,136.0
821,2000,Estonia,Ines,Once In A Lifetime,4.0,98.0
822,2000,Germany,Stefan Raab,Wadde Hadde Dudde Da,5.0,96.0
823,2000,Ireland,Eamonn Toal,Millennium Of Love,6.0,92.0
824,2000,Sweden,Roger Pontare,When Spirits Are Calling My Name,7.0,88.0
825,2000,Malta,Claudette Pace,Desire,8.0,73.0
826,2000,Croatia,Goran Karan,Kada Zaspu Andeli,9.0,70.0
827,2000,Turkey,Pinar Ayhan & S.O.S. band,Yorgunum Anla,10.0,59.0
828,2000,Norway,Charmed,My Heart Goes Boom,11.0,57.0
829,2000,Iceland,August & Telma,Tell Me!,12.0,45.0
830,2000,Netherlands,Linda Wagenmakers,No Goodbyes,13.0,40.0
831,2000,Austria,The rounder girls,All To You,14.0,34.0
832,2000,North Macedonia,XXL,100% Te Ljubam,15.0,29.0
833,2000,United Kingdom,Nicki French,Don't Play That Song Again,16.0,28.0
834,2000,Romania,Taxi,The Moon,17.0,25.0
835,2000,Spain,Serafín Zubiri,Colgado De Un Sueño,18.0,18.0
836,2000,Finland,Nina Åström,A Little Bit,18.0,18.0
837,2000,Switzerland,Jane Bogaert,La Vita Cos'è?,20.0,14.0
838,2000,Cyprus,Voice,Nomiza,21.0,8.0
839,2000,Israel,Ping Pong,Sa'me'akh,22.0,7.0
840,2000,France,Sofia Mestari,On Aura Le Ciel,23.0,5.0
841,2000,Belgium,Nathalie Sorce,Envie De Vivre,24.0,2.0
842,2001,Estonia,"Tanel Padar, Dave Benton & 2XL",Everybody,1.0,198.0
843,2001,Denmark,Rollo & King,Never Ever Let You Go,2.0,177.0
844,2001,Greece,Antique,Die For You,3.0,147.0
845,2001,France,Natasha Saint-Pier,Je N'ai Que Mon âme,4.0,142.0
846,2001,Sweden,Friends,Listen To Your Heartbeat,5.0,100.0
847,2001,Spain,David Civera,Dile Que La Quiero,6.0,76.0
848,2001,Slovenia,Nua Derenda,Energy,7.0,70.0
849,2001,Germany,Michelle,Wer Liebe Lebt,8.0,66.0
850,2001,Malta,Fabrizio Faniello,Another Summer Night,9.0,48.0
851,2001,Croatia,Vanna,Strings Of My Heart,10.0,42.0
852,2001,Turkey,Sedat Yüce,Sevgiliye Son,11.0,41.0
853,2001,Russia,Mumiy troll,Lady Alpine Blue,12.0,37.0
854,2001,Lithuania,Skamp,You Got Style,13.0,35.0
855,2001,Bosnia & Herzegovina,Nino,Hano,14.0,29.0
856,2001,United Kingdom,Lindsay D.,No Dream Impossible,15.0,28.0
857,2001,Israel,Tal Sondak,Ein Davar,16.0,25.0
858,2001,Portugal,MTM,Só Sei Ser Feliz Assim,17.0,18.0
859,2001,Netherlands,Michelle,Out On My Own,18.0,16.0
860,2001,Latvia,Arnis Mednis,Too Much,18.0,16.0
861,2001,Poland,Piasek,2 Long,20.0,11.0
862,2001,Ireland,Gary O'Shaughnessy,Without Your Love,21.0,6.0
863,2001,Iceland,TwoTricky,Angel,22.0,3.0
864,2001,Norway,Haldor Lægreid,On My Own,22.0,3.0
865,2002,Latvia,Marie N,I Wanna,1.0,176.0
866,2002,Malta,Ira Losco,7th Wonder,2.0,164.0
867,2002,United Kingdom,Jessica Garlick,Come Back,3.0,111.0
868,2002,Estonia,Sahléne,Runaway,3.0,111.0
869,2002,France,Sandrine François,Il Faut Du Temps,5.0,104.0
870,2002,Cyprus,One,Gimme,6.0,85.0
871,2002,Spain,Rosa,Europe's Living A Celebration,7.0,81.0
872,2002,Sweden,Afro-dite,Never Let It Go,8.0,72.0
873,2002,Romania,Monica Anghel & Marcel Pavel,Tell Me Why,9.0,71.0
874,2002,Russia,Prime minister,Northern Girl,10.0,55.0
875,2002,Croatia,Vesna Pisarovic,Everything I Want,11.0,44.0
876,2002,Israel,Sarit Hadad,Light A Candle,12.0,37.0
877,2002,Bosnia & Herzegovina,Maja,Na Jastuku Za Dvoje,13.0,33.0
878,2002,Belgium,Sergio & the Ladies,Sister,13.0,33.0
879,2002,Slovenia,Sestre,Samo Ljubezen,13.0,33.0
880,2002,Turkey,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,16.0,29.0
881,2002,Greece,Michalis Rakintzis,S.A.G.A.P.O.,17.0,27.0
882,2002,Austria,Manuel Ortega,Say A Word,18.0,26.0
883,2002,North Macedonia,Karolina,Od Nas Zavisi,19.0,25.0
884,2002,Finland,Laura,Addicted To You,20.0,24.0
885,2002,Germany,Corinna May,I Can't Live Without Music,21.0,17.0
886,2002,Switzerland,Francine Jordi,Dans Le Jardin De Mon Âme,22.0,15.0
887,2002,Lithuania,Aivaras,Happy You,23.0,12.0
888,2002,Denmark,Malene,Tell Me Who You Are,24.0,7.0
889,2003,Turkey,Sertab Erener,Everyway That I Can,1.0,167.0
890,2003,Belgium,Urban Trad,Sanomi,2.0,165.0
891,2003,Russia,t.A.T.u.,"Ne Ver, Ne Boisia",3.0,164.0
892,2003,Norway,Jostein Hasselgård,I'm Not Afraid To Move On,4.0,123.0
893,2003,Sweden,Fame,Give Me Your Love,5.0,107.0
894,2003,Austria,Alf Poier,Weil Der Mensch Zählt,6.0,101.0
895,2003,Poland,Ich Troje,Keine Grenzen - Zadnych Granic,7.0,90.0
896,2003,Iceland,Birgitta,Open Your Heart,8.0,81.0
897,2003,Spain,Beth,Dime,8.0,81.0
898,2003,Romania,Nicola,Dont Break My Heart,10.0,73.0
899,2003,Ireland,Mickey Harte,We've Got The World,11.0,53.0
900,2003,Germany,Lou,Lets Get Happy,11.0,53.0
901,2003,Netherlands,Esther Hart,One More Night,13.0,45.0
902,2003,Ukraine,Olexandr,Hasta La Vista,14.0,30.0
903,2003,Croatia,Claudia Beni,Vie Nisam Tvoja,15.0,29.0
904,2003,Bosnia & Herzegovina,Mija Martina,Ne Brini,16.0,27.0
905,2003,Greece,Mando,Never Let You Go,17.0,25.0
906,2003,France,Louisa Baileche,Monts Et Merveilles,18.0,19.0
907,2003,Israel,Lior Narkis,Words For Love,19.0,17.0
908,2003,Cyprus,Stelios Constantas,Feeling Alive,20.0,15.0
909,2003,Estonia,Ruffus,Eighties Coming Back,21.0,14.0
910,2003,Portugal,Rita Guerra,Deixa-me Sonhar,22.0,13.0
911,2003,Slovenia,Karmen,Nanana,23.0,7.0
912,2003,Latvia,F.L.Y.,Hello From Mars,24.0,5.0
913,2003,Malta,Lynn Chirchop,To Dream Again,25.0,4.0
914,2003,United Kingdom,Jemini,Cry Baby,26.0,0.0
915,2004,Ukraine,Ruslana,Wild Dances,1.0,280.0
916,2004,Serbia & Montenegro,Željko Joksimović,Lane Moje,2.0,263.0
917,2004,Greece,Sakis Rouvas,Shake It,3.0,252.0
918,2004,Turkey,Athena,For Real,4.0,195.0
919,2004,Cyprus,Lisa Andreas,Stronger Every Minute,5.0,170.0
920,2004,Sweden,Lena Philipsson,It Hurts,5.0,170.0
921,2004,Albania,Anjeza Shahini,The Image Of You,7.0,106.0
922,2004,Germany,Max,Can't Wait Until Tonight,8.0,93.0
923,2004,Bosnia & Herzegovina,Deen,In The Disco,9.0,91.0
924,2004,Spain,Ramón,Para Llenarme De Ti,10.0,87.0
925,2004,Russia,Julia Savicheva,Believe Me,11.0,67.0
926,2004,Malta,Julie & Ludwig,On Again... Off Again,12.0,50.0
927,2004,Croatia,Ivan Mikulic,You Are The Only One,12.0,50.0
928,2004,North Macedonia,Tose Proeski,Life,14.0,47.0
929,2004,France,Jonatan Cerrada,A Chaque Pas,15.0,40.0
930,2004,United Kingdom,James Fox,Hold On To Our Love,16.0,29.0
931,2004,Poland,Blue Cafe,Love Song,17.0,27.0
932,2004,Romania,Sanda Ladosi,I Admit,18.0,18.0
933,2004,Iceland,Jónsi,Heaven,19.0,16.0
934,2004,Netherlands,Re-union,Without You,20.0,11.0
935,2004,Austria,Tie Break,Du Bist,21.0,9.0
936,2004,Belgium,Xandee,1 Life,22.0,7.0
937,2004,Ireland,Chris Doran,If My World Stopped Turning,22.0,7.0
938,2004,Norway,Knut Anders Sørum,High,24.0,3.0
939,2004,Estonia,Neiokõsõ,Tii,,
940,2004,Israel,David D'or,Le'ha'amin,,
941,2004,Denmark,Tomas Thordarson,Shame On You,,
942,2004,Finland,Jari Sillanpää,Takes 2 To Tango,,
943,2004,Portugal,Sofia,Foi Magia,,
944,2004,Lithuania,Linas ir Simona,What's Happened To Your Love,,
945,2004,Latvia,Fomins & Kleins,Dziesma Par Laimi,,
946,2004,Andorra,Marta Roure,Jugarem A Estimar-nos,,
947,2004,Belarus,Aleksandra & Konstantin,My Galileo,,
948,2004,Monaco,Maryon,Notre Planète,,
949,2004,Slovenia,Platin,Stay Forever,,
950,2004,Switzerland,Piero Esteriore & the MusicStars,Celebrate,,
951,2005,Greece,Helena Paparizou,My Number One,1.0,230.0
952,2005,Malta,Chiara,Angel,2.0,192.0
953,2005,Romania,Luminita Anghel & Sistem,Let Me Try,3.0,158.0
954,2005,Israel,Shiri Maymon,Hasheket Shenish'ar,4.0,154.0
955,2005,Latvia,Walter & Kazha,The War Is Not Over,5.0,153.0
956,2005,Moldova,Zdob şi Zdub,Boonika Bate Doba,6.0,148.0
957,2005,Serbia & Montenegro,No Name,Zauvijek Moja,7.0,137.0
958,2005,Switzerland,Vanilla Ninja,Cool Vibes,8.0,128.0
959,2005,Norway,Wig Wam,In My Dreams,9.0,125.0
960,2005,Denmark,Jakob Sveistrup,Talking To You,9.0,125.0
961,2005,Croatia,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,11.0,115.0
962,2005,Hungary,NOX,Forogj Világ,12.0,97.0
963,2005,Turkey,Gülseren,Rimi Rimi Ley,13.0,92.0
964,2005,Bosnia & Herzegovina,Feminnem,Call Me,14.0,79.0
965,2005,Russia,Natalia Podolskaya,Nobody Hurt No One,15.0,57.0
966,2005,Albania,Ledina Celo,Tomorrow I Go,16.0,53.0
967,2005,North Macedonia,Martin Vucic,Make My Day,17.0,52.0
968,2005,Cyprus,Constantinos Christoforou,Ela Ela,18.0,46.0
969,2005,Sweden,Martin Stenmarck,Las Vegas,19.0,30.0
970,2005,Ukraine,Greenjolly,Razom Nas Bahato,19.0,30.0
971,2005,Spain,Son de sol,Brujería,21.0,28.0
972,2005,United Kingdom,Javine,Touch My Fire,22.0,18.0
973,2005,France,Ortal,Chacun Pense à Soi,23.0,11.0
974,2005,Germany,Gracia,Run & Hide,24.0,4.0
975,2005,Poland,Ivan & Delfin,Czarna Dziewczyna,,
976,2005,Slovenia,Omar Naber,Stop,,
977,2005,Belarus,Angelica Agurbash,Love Me Tonight,,
978,2005,Netherlands,Glennis Grace,My Impossible Dream,,
979,2005,Ireland,Donna and Joseph McCaul,Love?,,
980,2005,Iceland,Selma,If I Had Your Love,,
981,2005,Portugal,2B,Amar,,
982,2005,Finland,Geir Rönning,Why,,
983,2005,Bulgaria,Kaffe,Lorraine,,
984,2005,Estonia,Suntribe,Let's Get Loud,,
985,2005,Austria,Global.Kryner,Y Así,,
986,2005,Belgium,Nuno Resende,Le Grand Soir,,
987,2005,Andorra,Marian van de Wal,La Mirada Interior,,
988,2005,Monaco,Lise Darly,Tout De Moi,,
989,2005,Lithuania,Laura and the Lovers,Little By Little,,
990,2006,Finland,Lordi,Hard Rock Hallelujah,1.0,292.0
991,2006,Russia,Dima Bilan,Never Let You Go,2.0,248.0
992,2006,Bosnia & Herzegovina,Hari Mata Hari,Lejla,3.0,229.0
993,2006,Romania,Mihai Traistariu,Tornero,4.0,172.0
994,2006,Sweden,Carola,Invincible,5.0,170.0
995,2006,Lithuania,LT United,We Are The Winners,6.0,162.0
996,2006,Ukraine,Tina Karol,Show Me Your Love,7.0,145.0
997,2006,Armenia,André,Without Your Love,8.0,129.0
998,2006,Greece,Anna Vissi,Everything,9.0,128.0
999,2006,Ireland,Brian Kennedy,Every Song Is A Cry For Love,10.0,93.0
1000,2006,Turkey,Sibel Tüzün,Superstar,11.0,91.0
1001,2006,North Macedonia,Elena Risteska,Ninanajna,12.0,56.0
1002,2006,Croatia,Severina,Moja tikla,12.0,56.0
1003,2006,Norway,Christine Guldbrandsen,Alvedansen,14.0,36.0
1004,2006,Germany,Texas Lightning,"No, No, Never",14.0,36.0
1005,2006,Switzerland,Six4One,If We All Give A Little,16.0,30.0
1006,2006,Latvia,Cosmos,I Hear Your Heart,16.0,30.0
1007,2006,Denmark,Sidsel Ben Semmane,Twist Of Love,18.0,26.0
1008,2006,United Kingdom,Daz Sampson,Teenage Life,19.0,25.0
1009,2006,Moldova,Arsenium & Natalia Gordienko,Loca,20.0,22.0
1010,2006,Spain,Las Ketchup,Bloody Mary,21.0,18.0
1011,2006,France,Virginie Pouchin,Il était Temps,22.0,5.0
1012,2006,Israel,Eddie Butler,Ze Hazman,23.0,4.0
1013,2006,Malta,Fabrizio Faniello,I Do,24.0,1.0
1014,2006,Poland,Ich Troje,Follow My Heart,,
1015,2006,Belgium,Kate Ryan,Je t'adore,,
1016,2006,Iceland,Silvia Night,Congratulations,,
1017,2006,Albania,Luiz Ejlli,Zjarr E Ftohtë,,
1018,2006,Cyprus,Annet Artani,Why Angels Cry,,
1019,2006,Slovenia,Anej Dean,Mr. Nobody,,
1020,2006,Bulgaria,Mariana Popova,Let Me Cry,,
1021,2006,Estonia,Sandra,Through My Window,,
1022,2006,Portugal,Nonstop,Coisas De Nada,,
1023,2006,Netherlands,Treble,Amambanda,,
1024,2006,Monaco,Séverine Ferrer,La Coco-dance,,
1025,2006,Belarus,Polina Smolova,Mum,,
1026,2006,Andorra,Jennifer,Sense Tu,,
1027,2007,Serbia,Marija Šerifović,Molitva,1.0,268.0
1028,2007,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,2.0,235.0
1029,2007,Russia,Serebro,Song # 1,3.0,207.0
1030,2007,Turkey,Kenan Dogulu,Shake It Up Shekerim,4.0,163.0
1031,2007,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,5.0,157.0
1032,2007,Belarus,Dmitry Koldun,Work Your Magic,6.0,145.0
1033,2007,Greece,Sarbel,Yassou Maria,7.0,139.0
1034,2007,Armenia,Hayko,Anytime You Need,8.0,138.0
1035,2007,Hungary,Magdi Rúzsa,Unsubstantial Blues,9.0,128.0
1036,2007,Moldova,Natalia Barbu,Fight,10.0,109.0
1037,2007,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,11.0,106.0
1038,2007,Georgia,Sopho,Visionary Dream,12.0,97.0
1039,2007,Romania,Todomondo,"Liubi, Liubi, I Love You",13.0,84.0
1040,2007,North Macedonia,Karolina,Mojot Svet,14.0,73.0
1041,2007,Slovenia,Alenka Gotar,Cvet Z Juga,15.0,66.0
1042,2007,Latvia,Bonaparti.lv,Questa Notte,16.0,54.0
1043,2007,Finland,Hanna Pakarinen,Leave Me Alone,17.0,53.0
1044,2007,Sweden,The Ark,The Worrying Kind,18.0,51.0
1045,2007,Germany,Roger Cicero,Frauen Regieren Die Welt,19.0,49.0
1046,2007,Spain,NASH,I Love You Mi Vida,20.0,43.0
1047,2007,Lithuania,4Fun,Love Or Leave,21.0,28.0
1048,2007,France,Les Fatals Picards,L'amour à La Française,22.0,19.0
1049,2007,United Kingdom,Scooch,Flying The Flag (for You),22.0,19.0
1050,2007,Ireland,Dervish,They Can't Stop The Spring,24.0,5.0
1051,2007,Portugal,Sabrina,Dança Comigo (vem Ser Feliz),,
1052,2007,Andorra,Anonymous,Salvem El Món,,
1053,2007,Iceland,Eiríkur Hauksson,Valentine Lost,,
1054,2007,Poland,The Jet Set,Time To Party,,
1055,2007,Cyprus,Evridiki,"Comme Ci, Comme ça",,
1056,2007,Croatia,Dragonfly feat. Dado Topic,Vjerujem U Ljubav,,
1057,2007,Albania,Aida & Frederik Ndoci,Hear My Plea,,
1058,2007,Norway,Guri Schanke,Ven A Bailar Conmigo,,
1059,2007,Denmark,DQ,Drama Queen,,
1060,2007,Switzerland,DJ BoBo,Vampires Are Alive,,
1061,2007,Netherlands,Edsilia Rombley,On Top Of The World,,
1062,2007,Montenegro,Stevan Faddy,Ajde Kroci,,
1063,2007,Estonia,Gerli Padar,Partners In Crime,,
1064,2007,Israel,Teapacks,Push The Button,,
1065,2007,Malta,Olivia Lewis,Vertigo,,
1066,2007,Belgium,The KMG's,Love Power,,
1067,2007,Austria,Eric Papilaya,Get A Life - Get Alive,,
1068,2007,Czech Republic,Kabát,Malá Dáma,,
1069,2008,Russia,Dima Bilan,Believe,1.0,272.0
1070,2008,Ukraine,Ani Lorak,Shady Lady,2.0,230.0
1071,2008,Greece,Kalomira,Secret Combination,3.0,218.0
1072,2008,Armenia,Sirusho,"Qele, Qele",4.0,199.0
1073,2008,Norway,Maria,Hold On Be Strong,5.0,182.0
1074,2008,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,6.0,160.0
1075,2008,Turkey,Mor ve Ötesi,Deli,7.0,138.0
1076,2008,Azerbaijan,Elnur & Samir,Day After Day,8.0,132.0
1077,2008,Israel,Boaz,The Fire In Your Eyes,9.0,124.0
1078,2008,Bosnia & Herzegovina,Laka,Pokušaj,10.0,110.0
1079,2008,Georgia,Diana Gurtskaya,Peace Will Come,11.0,83.0
1080,2008,Latvia,Pirates Of The Sea,Wolves Of The Sea,12.0,83.0
1081,2008,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),13.0,69.0
1082,2008,Iceland,Euroband,This Is My Life,14.0,64.0
1083,2008,Denmark,Simon Mathew,All Night Long,15.0,60.0
1084,2008,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,16.0,55.0
1085,2008,Albania,Olta Boka,Zemrën E Lamë Peng,17.0,55.0
1086,2008,Sweden,Charlotte Perrelli,Hero,18.0,47.0
1087,2008,France,Sébastien Tellier,Divine,19.0,47.0
1088,2008,Romania,Nico & Vlad,Pe-o Margine De Lume,20.0,45.0
1089,2008,Croatia,Kraljevi Ulice & 75 Cents,Romanca,21.0,44.0
1090,2008,Finland,Teräsbetoni,Missä Miehet Ratsastaa,22.0,35.0
1091,2008,Germany,No Angels,Disappear,23.0,14.0
1092,2008,Poland,Isis Gee,For Life,24.0,14.0
1093,2008,United Kingdom,Andy Abraham,Even If,25.0,14.0
1094,2008,North Macedonia,"Tamara, Vrčak & Adrijan",Let Me Love You,,
1095,2008,Bulgaria,Deep Zone & Balthazar,"DJ, Take Me Away",,
1096,2008,Switzerland,Paolo Meneguzzi,Era Stupendo,,
1097,2008,Malta,Morena,Vodka,,
1098,2008,Slovenia,Rebeka Dremelj,Vrag Naj Vzame,,
1099,2008,Moldova,Geta Burlacu,A Century Of Love,,
1100,2008,Cyprus,Evdokia Kadi,Femme Fatale,,
1101,2008,Lithuania,Jeronimas Milius,Nomads In The Night,,
1102,2008,Netherlands,Hind,Your Heart Belongs To Me,,
1103,2008,Belarus,Ruslan Alehno,Hasta La Vista,,
1104,2008,Montenegro,Stefan Filipović,Zauvijek Volim Te,,
1105,2008,Ireland,Dustin the Turkey,Irelande Douze Pointe,,
1106,2008,Andorra,Gisela,Casanova,,
1107,2008,Belgium,Ishtar,O Julissi,,
1108,2008,Czech Republic,Tereza Kerndlová,Have Some Fun,,
1109,2008,Estonia,Kreisiraadio,Leto Svet,,
1110,2008,Hungary,Csézy,Candlelight,,
1111,2008,San Marino,Miodio,Complice,,
1112,2009,Norway,Alexander Rybak,Fairytale,1.0,387.0
1113,2009,Iceland,Yohanna,Is It True?,2.0,218.0
1114,2009,Azerbaijan,AySel & Arash,Always,3.0,207.0
1115,2009,Turkey,Hadise,Düm Tek Tek,4.0,177.0
1116,2009,United Kingdom,Jade Ewen,It's My Time,5.0,173.0
1117,2009,Estonia,Urban Symphony,Rändajad,6.0,129.0
1118,2009,Greece,Sakis Rouvas,This Is Our Night,7.0,120.0
1119,2009,France,Patricia Kaas,Et S'il Fallait Le Faire,8.0,107.0
1120,2009,Bosnia & Herzegovina,Regina,Bistra Voda,9.0,106.0
1121,2009,Armenia,Inga & Anush,Jan Jan,10.0,92.0
1122,2009,Russia,Anastasia Prikhodko,Mamo,11.0,91.0
1123,2009,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),12.0,76.0
1124,2009,Denmark,Brinck,Believe Again,13.0,74.0
1125,2009,Moldova,Nelly Ciobanu,Hora Din Moldova,14.0,69.0
1126,2009,Portugal,Flor-de-lis,Todas As Ruas Do Amor,15.0,57.0
1127,2009,Israel,Noa & Mira Awad,There Must Be Another Way,16.0,53.0
1128,2009,Albania,Kejsi Tola,Carry Me In Your Dreams,17.0,48.0
1129,2009,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,18.0,45.0
1130,2009,Romania,Elena,The Balkan Girls,19.0,40.0
1131,2009,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,20.0,35.0
1132,2009,Sweden,Malena Ernman,La Voix,21.0,33.0
1133,2009,Malta,Chiara,What If We,22.0,31.0
1134,2009,Lithuania,Sasha Son,Love,23.0,23.0
1135,2009,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),24.0,23.0
1136,2009,Finland,Waldo's People,Lose Control,25.0,22.0
1137,2009,Serbia,Marko Kon & Milaan,Cipela,,
1138,2009,Ireland,Sinéad Mulvey & Black Daisy,Et Cetera,,
1139,2009,North Macedonia,Next Time,Neshto Shto Ke Ostane,,
1140,2009,Montenegro,Andrea Demirović,Just Get Out of My Life,,
1141,2009,Poland,Lidia Kopania,I Don't Wanna Leave,,
1142,2009,Cyprus,Christina Metaxa,Firefly,,
1143,2009,Belarus,Petr Elfimov,Eyes That Never Lie,,
1144,2009,Switzerland,Lovebugs,The Highest Heights,,
1145,2009,Hungary,Zoli Ádok,Dance With Me,,
1146,2009,Slovenia,Quartissimo feat. Martina,Love Symphony,,
1147,2009,Netherlands,The Toppers,Shine,,
1148,2009,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),,
1149,2009,Slovakia,Kamil Mikulčík & Nela Pocisková,Leť Tmou,,
1150,2009,Bulgaria,Krassimir Avramov,Illusion,,
1151,2009,Latvia,Intars Busulis,Probka,,
1152,2009,Belgium,Copycat,,,
1153,2009,Czech Republic,Gipsy.cz,Aven Romale,,
1154,2010,Germany,Lena,Satellite,1.0,246.0
1155,2010,Turkey,maNga,We Could Be The Same,2.0,170.0
1156,2010,Romania,Paula Seling & Ovi,Playing With Fire,3.0,162.0
1157,2010,Denmark,Chanée & N'evergreen,In A Moment Like This,4.0,149.0
1158,2010,Azerbaijan,Safura,Drip Drop,5.0,145.0
1159,2010,Belgium,Tom Dice,Me And My Guitar,6.0,143.0
1160,2010,Armenia,Eva Rivas,Apricot Stone,7.0,141.0
1161,2010,Greece,Giorgos Alkaios & Friends,OPA,8.0,140.0
1162,2010,Georgia,Sofia Nizharadze,Shine,9.0,136.0
