,year,to_country,performer,song,place_final,points_final
130,1965,Netherlands,Conny Van den bos,Het Is Genoeg,11.0,5.0
131,1965,Yugoslavia,Vice Vukov,Ceznja,12.0,2.0
132,1965,Norway,Kirsti Sparboe,Karusell,13.0,1.0
133,1965,Portugal,Simone de Oliviera,Sol De Inverno,13.0,1.0
134,1965,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",15.0,0.0
135,1965,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",15.0,0.0
136,1965,Belgium,Lize Marke,Als Het Weer Lente Is,15.0,0.0
137,1965,Finland,Viktor Klimenko,Aurinko Laskee Länteen,15.0,0.0
138,1966,Austria,Udo Jürgens,Merci Chérie,1.0,31.0
139,1966,Sweden,Lill Lindfors & Svante Thuresson,Nygammal Vals,2.0,16.0
140,1966,Norway,Åse Kleveland,Intet Er Nytt Under Solen,3.0,15.0
141,1966,Belgium,Tonia,"Un Peu De Poivre, Un Peu De Sel",4.0,14.0
142,1966,Ireland,Dickie Rock,Come Back To Stay,4.0,14.0
143,1966,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,6.0,12.0
144,1966,Yugoslavia,Berta Ambroz,Brez Besed,7.0,9.0
145,1966,Spain,Raphael,Yo Soy Aquél,7.0,9.0
146,1966,United Kingdom,Kenneth McKellar,A Man Without Love,9.0,8.0
147,1966,Germany,Margot Eskens,Die Zeiger Der Uhr,10.0,7.0
148,1966,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,10.0,7.0
149,1966,Finland,Ann-Christine Nyström,Play-boy,10.0,7.0
150,1966,Portugal,Madalena Iglesias,Ele E Ela,13.0,6.0
151,1966,Denmark,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",14.0,4.0
152,1966,Netherlands,Milly Scott,Fernando En Philippo,15.0,2.0
153,1966,France,Dominique Walter,Chez Nous,16.0,1.0
154,1966,Monaco,Tereza,Bien Plus Fort,17.0,0.0
155,1966,Italy,Domenico Modugno,Dio Come Ti Amo,17.0,0.0
156,1967,United Kingdom,Sandie Shaw,Puppet On A String,1.0,47.0
157,1967,Ireland,Sean Dunphy,If I Could Choose,2.0,22.0
158,1967,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,3.0,20.0
159,1967,Luxembourg,Vicky,L'amour Est Bleu,4.0,17.0
160,1967,Monaco,Minouche Barelli,Boum-badaboum,5.0,10.0
161,1967,Spain,Raphael,Hablemos Del Amor,6.0,9.0
162,1967,Belgium,Louis Neefs,Ik Heb Zorgen,7.0,8.0
163,1967,Sweden,Östen Warnerbring,Som En Dröm,8.0,7.0
164,1967,Germany,Inge Brück,Anouschka,8.0,7.0
165,1967,Yugoslavia,Lado Leskovar,Vse Rože Sveta,8.0,7.0
166,1967,Italy,Claudio Villa,Non Andare Più Lontano,11.0,4.0
167,1967,Portugal,Eduardo Nascimento,O Vento Mudou,12.0,3.0
168,1967,Finland,Fredi,Varjoon-suojaan,12.0,3.0
169,1967,Netherlands,Thérèse Steinmetz,Ring-dinge,14.0,2.0
170,1967,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,14.0,2.0
171,1967,Norway,Kirsti Sparboe,Dukkemann,14.0,2.0
172,1967,Switzerland,Géraldine,Quel Cœur Vas-tu Briser?,17.0,0.0
173,1968,Spain,Massiel,"La, La, La...",1.0,29.0
174,1968,United Kingdom,Cliff Richard,Congratulations,2.0,28.0
175,1968,France,Isabelle Aubret,La Source,3.0,20.0
176,1968,Ireland,Pat McGeegan,Chance Of A Lifetime,4.0,18.0
177,1968,Sweden,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej",5.0,15.0
178,1968,Germany,Wencke Myhre,Ein Hoch Der Liebe,6.0,11.0
179,1968,Belgium,Claude Lombard,Quand Tu Reviendras,7.0,8.0
180,1968,Monaco,Line & Willy,A Chacun Sa Chanson,7.0,8.0
181,1968,Yugoslavia,Luci Kapurso & Hamo Hajdarhodzic,Jedan Dan,7.0,8.0
182,1968,Italy,Sergio Endrigo,Marianne,10.0,7.0
183,1968,Portugal,Carlos Mendes,Verão,11.0,5.0
184,1968,Luxembourg,Chris Baldo & Sophie Garel,Nous Vivrons D'amour,11.0,5.0
185,1968,Austria,Karel Gott,Tausend Fenster,13.0,2.0
186,1968,Switzerland,Gianni Mascolo,Guardando Il Sole,13.0,2.0
187,1968,Norway,Odd Børre,Stress,13.0,2.0
188,1968,Netherlands,Ronnie Tober,Morgen,16.0,1.0
189,1968,Finland,Kristina Hautala,Kun Kello Käy,16.0,1.0
190,1969,Spain,Salomé,Vivo Cantando,1.0,18.0
191,1969,United Kingdom,Lulu,Boom Bang-a-bang,1.0,18.0
192,1969,Netherlands,Lenny Kuhr,De Troubadour,1.0,18.0
193,1969,France,Frida Boccara,"Un Jour, Un Enfant",1.0,18.0
194,1969,Switzerland,Paola del Medico,"Bonjour, Bonjour",5.0,13.0
195,1969,Monaco,Jean-Jacques,"Maman, Maman",6.0,11.0
196,1969,Ireland,Muriel Day and the Lindsays,The Wages Of Love,7.0,10.0
197,1969,Belgium,Louis Neefs,Jennifer Jennings,7.0,10.0
198,1969,Sweden,Tommy Körberg,"Judy, Min Vän",9.0,8.0
199,1969,Germany,Siw Malmkvist,Primaballerina,9.0,8.0
200,1969,Luxembourg,Romuald,Cathérine,11.0,7.0
201,1969,Finland,Jarkko and Laura,Kuin Silloin Ennen,12.0,6.0
202,1969,Yugoslavia,Ivan & M's,Pozdrav Svijetu,13.0,5.0
203,1969,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,13.0,5.0
204,1969,Portugal,Simone de Oliveira,Desfolhada Portuguesa,15.0,4.0
205,1969,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",16.0,1.0
206,1970,Ireland,Dana,All Kinds Of Everything,1.0,32.0
207,1970,United Kingdom,Mary Hopkin,"Knock, Knock (who's there?)",2.0,26.0
208,1970,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,3.0,12.0
209,1970,Switzerland,Henri Dès,Retour,4.0,8.0
210,1970,France,Guy Bonnet,Marie Blanche,4.0,8.0
211,1970,Spain,Julio Iglesias,Gwendolyne,4.0,8.0
212,1970,Netherlands,Patricia and Hearts of Soul,Waterman,7.0,7.0
213,1970,Italy,Gianni Morandi,Occhi Di Ragazza,8.0,5.0
214,1970,Belgium,Jean Vallée,Viens L'oublier,8.0,5.0
215,1970,Monaco,Dominique Dussault,Marlène,8.0,5.0
216,1970,Yugoslavia,Eva Sršen,"Pridi, Dala Ti Bom Cvet",11.0,4.0
217,1970,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,12.0,0.0
218,1971,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",1.0,128.0
219,1971,Spain,Karina,En Un Mundo Nuevo,2.0,116.0
220,1971,Germany,Katja Ebstein,Diese Welt,3.0,100.0
221,1971,United Kingdom,Clodagh Rodgers,Jack In The Box,4.0,98.0
222,1971,Italy,Massimo Ranieri,L'amore è Un Attimo,5.0,91.0
223,1971,Sweden,Family Four,Vita Vidder,6.0,85.0
224,1971,Netherlands,Saskia and Serge,De Tijd,6.0,85.0
225,1971,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,8.0,84.0
226,1971,Portugal,Tonicha,Menina Do Alto Da Serra,9.0,83.0
227,1971,France,Serge Lama,Un Jardin Sur La Terre,10.0,82.0
228,1971,Ireland,Angela Farrell,One Day Love,11.0,79.0
229,1971,Switzerland,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans,12.0,78.0
230,1971,Luxembourg,Monique Melsen,"Pomme, Pomme, Pomme",13.0,70.0
231,1971,Belgium,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen",14.0,68.0
232,1971,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,14.0,68.0
233,1971,Austria,Marianne Mendt,Musik,16.0,66.0
234,1971,Norway,Hanne Krogh,Lykken Er...,17.0,65.0
235,1971,Malta,Joe Grech,Marija L-Maltija,18.0,52.0
236,1972,Luxembourg,Vicky Leandros,Après Toi,1.0,128.0
237,1972,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",2.0,114.0
238,1972,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,3.0,107.0
239,1972,Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,4.0,106.0
240,1972,Austria,The Milestones,Falter Im Wind,5.0,100.0
241,1972,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,6.0,92.0
242,1972,Portugal,Carlos Mendes,A Festa Da Vida,7.0,90.0
243,1972,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,8.0,88.0
244,1972,Yugoslavia,Tereza,Muzika I Ti,9.0,87.0
245,1972,Spain,Jaime Morey,Amanece,10.0,83.0
246,1972,France,Betty Mars,Comé-comédie,11.0,81.0
247,1972,Finland,Päivi Paunu and Kim Floor,Muistathan,12.0,78.0
248,1972,Sweden,Family Four,Härliga Sommardag,13.0,75.0
249,1972,Norway,Grethe Kausland & Benny Borg,Småting,14.0,73.0
250,1972,Ireland,Sandie Jones,Ceol On Ghrá,15.0,72.0
251,1972,Monaco,Anne-Marie Godart and Peter MacLane,Comme On S'aime,16.0,65.0
252,1972,Belgium,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout,17.0,55.0
253,1972,Malta,Helen and Joseph,L-imħabba,18.0,48.0
254,1973,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,1.0,129.0
255,1973,Spain,Mocedades,Eres Tú,2.0,125.0
256,1973,United Kingdom,Cliff Richard,Power To All Our Friends,3.0,123.0
257,1973,Israel,Ilanit,Ey-sham,4.0,97.0
258,1973,Sweden,The Nova and The Dolls,You're Summer,5.0,94.0
259,1973,Finland,Marion Rung,Tom Tom Tom,6.0,93.0
260,1973,Norway,Bendik Singers,It's Just A Game,7.0,89.0
261,1973,Germany,Gitte,Junger Tag,8.0,85.0
262,1973,Monaco,Marie,Un Train Qui Part,8.0,85.0
263,1973,Portugal,Fernando Tordo,Tourada,10.0,80.0
264,1973,Ireland,Maxi,Do I Dream?,10.0,80.0
265,1973,Switzerland,Patrick Juvet,"Je Me Vais Marier, Marie",12.0,79.0
266,1973,Italy,Massimo Ranieri,Chi Sarà Con Te,13.0,74.0
